date,hour,traffic
01/04/14,13,42
01/04/14,14,36
01/04/14,15,27
01/04/14,16,43
01/04/14,17,44
01/04/14,18,41
01/04/14,19,31
01/04/14,20,17
01/04/14,21,0
01/04/14,22,0
02/04/14,8,0
02/04/14,9,0
02/04/14,10,34
02/04/14,11,29
02/04/14,12,28
02/04/14,13,32
02/04/14,14,45
02/04/14,15,24
02/04/14,16,41
02/04/14,17,47
02/04/14,18,42
02/04/14,19,41
02/04/14,20,42
02/04/14,21,0
02/04/14,22,0
03/04/14,8,0
03/04/14,9,0
03/04/14,10,21
03/04/14,11,25
03/04/14,12,25
03/04/14,13,41
03/04/14,14,41
03/04/14,15,38
03/04/14,16,36
03/04/14,17,58
03/04/14,18,37
03/04/14,19,46
03/04/14,20,20
03/04/14,21,0
03/04/14,22,0
04/04/14,8,0
04/04/14,9,0
04/04/14,10,24
04/04/14,11,33
04/04/14,12,52
04/04/14,13,51
04/04/14,14,42
04/04/14,15,53
04/04/14,16,53
04/04/14,17,83
04/04/14,18,88
04/04/14,19,51
04/04/14,20,32
04/04/14,21,0
04/04/14,22,0
05/04/14,8,0
05/04/14,9,0
05/04/14,10,19
05/04/14,11,50
05/04/14,12,57
05/04/14,13,80
05/04/14,14,58
05/04/14,15,77
05/04/14,16,92
05/04/14,17,87
05/04/14,18,102
05/04/14,19,87
05/04/14,20,49
05/04/14,21,0
